"Alias","Original"
"MZM1L","LYRM7"
"LYRM9","LYRM9"
"C17orf108","LYRM9"
"HSD24","LYRM9"
"GSTZ1","GSTZ1"
"GSTZ1-1","GSTZ1"
"MAAI","GSTZ1"
"MAAID","GSTZ1"
"MAI","GSTZ1"
"MAIP1","MAIP1"
"C2orf47","MAIP1"
"MTARC2","MTARC2"
"MARC2","MTARC2"
"MOSC2","MTARC2"
"MAVS","MAVS"
"CARDIF","MAVS"
"IPS-1","MAVS"
"IPS1","MAVS"
"VISA","MAVS"
"MCAT","MCAT"
"FASN2C","MCAT"
"MCT","MCAT"
"MCT1","MCAT"
"MT","MCAT"
"NET62","MCAT"
"OPA15","MCAT"
"fabD","MCAT"
"MCCC1","MCCC1"
"MCC-B","MCCC1"
"MCCA","MCCC1"
"MCCCalpha","MCCC1"
"MCCC2","MCCC2"
"MCCB","MCCC2"
"MCCCbeta","MCCC2"
"MCL1","MCL1"
"BCL2L3","MCL1"
"EAT","MCL1"
"MCL1-ES","MCL1"
"MCL1L","MCL1"
"MCL1S","MCL1"
"Mcl-1","MCL1"
"TM","MCL1"
"bcl2-L-3","MCL1"
"mcl1/EAT","MCL1"
"MCUB","MCUB"
"CCDC109B","MCUB"
"MCUR1","MCUR1"
"C6orf79","MCUR1"
"CCDC90A","MCUR1"
"FMP32","MCUR1"
"MECR","MECR"
"CGI-63","MECR"
"DYTOABG","MECR"
"ETR1","MECR"
"FASN2B","MECR"
"NRBF1","MECR"
"OPA16","MECR"
"MFF","MFF"
"C2orf33","MFF"
"EMPF2","MFF"
"GL004","MFF"
"MFN1","MFN1"
"hfzo1","MFN1"
"hfzo2","MFN1"
"MFN2","MFN2"
"CMT2A","MFN2"
"CMT2A2","MFN2"
"CMT2A2A","MFN2"
"CMT2A2B","MFN2"
"CPRP1","MFN2"
"HMSN6A","MFN2"
"HSG","MFN2"
"MARF","MFN2"
"MSL","MFN2"
"SLC25A28","SLC25A28"
"MFRN2","SLC25A28"
"MRS3/4","SLC25A28"
"MRS4L","SLC25A28"
"NPD016","SLC25A28"
"SLC25A32","SLC25A32"
"GLYB","SLC25A32"
"MFT","SLC25A32"
"MFTC","SLC25A32"
"RREI","SLC25A32"
"MGME1","MGME1"
"C20orf72","MGME1"
"DDK1","MGME1"
"MTDPS11","MGME1"
"bA504H3.4","MGME1"
"MGST1","MGST1"
"GST12","MGST1"
"MGST","MGST1"
"MGST-I","MGST1"
"PMAN","MGST1"
"MGST3","MGST3"
"GST-3","MGST3"
"GST-III","MGST3"
"CHCHD4","CHCHD4"
"MIA40","CHCHD4"
"TIMM40","CHCHD4"
"MICOS13","MICOS13"
"C19orf70","MICOS13"
"MIC12","MICOS13"
"MIC13","MICOS13"
"P117","MICOS13"
"QIL1","MICOS13"
"APOO","APOO"
"FAM121B","APOO"
"MIC26","APOO"
"MICOS26","APOO"
"Mic23","APOO"
"My025","APOO"
"MICU1","MICU1"
"CALC","MICU1"
"CBARA1","MICU1"
"EFHA3","MICU1"
"MPXPS","MICU1"
"ara CALC","MICU1"
"MIEF2","MIEF2"
"COXPD49","MIEF2"
"D3B","MIEF2"
"MID49","MIEF2"
"SMCR7","MIEF2"
"MIEF1","MIEF1"
"AltMIEF1","MIEF1"
"D3A","MIEF1"
"HSU79252","MIEF1"
"L0R8F8","MIEF1"
"MID51","MIEF1"
"MIEF1-MP","MIEF1"
"OPA14","MIEF1"
"SMCR7L","MIEF1"
"dJ1104E15.3","MIEF1"
"MIPEP","MIPEP"
"COXPD31","MIPEP"
"HMIP","MIPEP"
"MIP","MIPEP"
"RHOT1","RHOT1"
"ARHT1","RHOT1"
"MIRO-1","RHOT1"
"MIRO1","RHOT1"
"CCDC51","CCDC51"
"MITOK","CCDC51"
"MMAA","MMAA"
"cblA","MMAA"
"MMAB","MMAB"
"ATR","MMAB"
"CFAP23","MMAB"
"cblB","MMAB"
"cob","MMAB"
"MPC1","MPC1"
"BRP44L","MPC1"
"CGI-129","MPC1"
"MPYCD","MPC1"
"SLC54A1","MPC1"
"MPC2","MPC2"
"BRP44","MPC2"
"SLC54A2","MPC2"
"PMPCB","PMPCB"
"Beta-MPP","PMPCB"
"MAS1","PMPCB"
"MPP11","PMPCB"
"MPPB","PMPCB"
"MPPP52","PMPCB"
"P-52","PMPCB"
"MPV17","MPV17"
"CMT2EE","MPV17"
"MTDPS6","MPV17"
"SYM1","MPV17"
"MRM2","MRM2"
"FJH1","MRM2"
"FTSJ2","MRM2"
"HEL97","MRM2"
"MTDPS17","MRM2"
"RRMJ2","MRM2"
"MRM3","MRM3"
"RMTL1","MRM3"
"RNMTL1","MRM3"
"MRS2","MRS2"
"HPT","MRS2"
"MRS2L","MRS2"
"MSRB3","MSRB3"
"DFNB74","MSRB3"
"MTCH1","MTCH1"
"CGI-64","MTCH1"
"PIG60","MTCH1"
"PSAP","MTCH1"
"SLC25A49","MTCH1"
"MTCH2","MTCH2"
"HSPC032","MTCH2"
"MIMP","MTCH2"
"SLC25A50","MTCH2"
"MTFP1","MTFP1"
"HSPC242","MTFP1"
"MTP18","MTFP1"
"MTFR1","MTFR1"
"CHPPR","MTFR1"
"FAM54A2","MTFR1"
"MTG1","MTG1"
"GTP","MTG1"
"GTPBP7","MTG1"
"MTG2","MTG2"
"GTPBP5","MTG2"
"ObgH1","MTG2"
"dJ1005F21.2","MTG2"
"MTHFS","MTHFS"
"HsT19268","MTHFS"
"NEDMEHM","MTHFS"
"TRMU","TRMU"
"LCAL3","TRMU"
"MTO2","TRMU"
"MTU1","TRMU"
"TRMT","TRMU"
"TRMT1","TRMU"
"MTX1","MTX1"
"MTX","MTX1"
"MTXN","MTX1"
"MTX2","MTX2"
"MDPS","MTX2"
"metaxin-2","MTX2"
"MUL1","MUL1"
"C1orf166","MUL1"
"GIDE","MUL1"
"MAPL","MUL1"
"MULAN","MUL1"
"RNF218","MUL1"
"MYG1","MYG1"
"C12orf10","MYG1"
"Gamm1","MYG1"
"MST024","MYG1"
"MSTP024","MYG1"
"MYG","MYG1"
"MYO19","MYO19"
"MYOHD1","MYO19"
"NBR1","NBR1"
"1A1-3B","NBR1"
"IAI3B","NBR1"
"M17S2","NBR1"
"MIG19","NBR1"
"NFU1","NFU1"
"CGI-33","NFU1"
"HIRIP","NFU1"
"HIRIP5","NFU1"
"MMDFS","NFU1"
"MMDS1","NFU1"
"NIFUC","NFU1"
"Nfu","NFU1"
"NifU","NFU1"
"NGRN","NGRN"
"DSC92","NGRN"
"NIT1","NIT1"
"NIT2","NIT2"
"HEL-S-8a","NIT2"
"NLRX1","NLRX1"
"CLR11.3","NLRX1"
"DLNB26","NLRX1"
"NOD26","NLRX1"
"NOD5","NLRX1"
"NOD9","NLRX1"
"NOA1","NOA1"
"C4orf14","NOA1"
"MTG3","NOA1"
"hAtNOS1","NOA1"
"hNOA1","NOA1"
"mAtNOS1","NOA1"
"NOCT","NOCT"
"CCR4L","NOCT"
"CCRN4L","NOCT"
"Ccr4c","NOCT"
"NOC","NOCT"
"NRDC","NRDC"
"NRD1","NRDC"
"hNRD1","NRDC"
"hNRD2","NRDC"
"NSUN2","NSUN2"
"MISU","NSUN2"
"MRT5","NSUN2"
"SAKI","NSUN2"
"TRM4","NSUN2"
"NT5M","NT5M"
"dNT-2","NT5M"
"dNT2","NT5M"
"mdN","NT5M"
"NUBPL","NUBPL"
"C14orf127","NUBPL"
"IND1","NUBPL"
"MC1DN21","NUBPL"
"huInd1","NUBPL"
"NUDT5","NUDT5"
"YSA1","NUDT5"
"YSA1H","NUDT5"
"YSAH1","NUDT5"
"hNUDT5","NUDT5"
"NUDT6","NUDT6"
"ASFGF2","NUDT6"
"FGF-AS","NUDT6"
"FGF2AS","NUDT6"
"GFG-1","NUDT6"
"GFG1","NUDT6"
"NUDT9","NUDT9"
"NUDT10","NUDT9"
"OAT","OAT"
"GACR","OAT"
"HOGA","OAT"
"OATASE","OAT"
"OKT","OAT"
"OPA1","OPA1"
"BERHS","OPA1"
"MGM1","OPA1"
"MTDPS14","OPA1"
"NPG","OPA1"
"NTG","OPA1"
"largeG","OPA1"
"OPA3","OPA3"
"MGA3","OPA3"
"SLC25A15","SLC25A15"
"D13S327","SLC25A15"
"HHH","SLC25A15"
"LNC-HC","SLC25A15"
"ORC1","SLC25A15"
"ORNT1","SLC25A15"
"OXA1L","OXA1L"
"OXA1","OXA1L"
"OXA1L1","OXA1L"
"HCRTR1","HCRTR1"
"ORXR1","HCRTR1"
"OX1R","HCRTR1"
"OXR1","HCRTR1"
"ATP5MC3","ATP5MC3"
"ATP5G3","ATP5MC3"
"DYTSPG","ATP5MC3"
"P3","ATP5MC3"
"ALDH18A1","ALDH18A1"
"ADCL3","ALDH18A1"
"ARCL3A","ALDH18A1"
"GSAS","ALDH18A1"
"P5CS","ALDH18A1"
"PYCS","ALDH18A1"
"SPG9","ALDH18A1"
"SPG9A","ALDH18A1"
"SPG9B","ALDH18A1"
"PHYH","PHYH"
"LN1","PHYH"
"LNAP1","PHYH"
"PAHX","PHYH"
"PHYH1","PHYH"
"RD","PHYH"
"PAN2","RDH14"
"USP52","PAN2"
"PANK2","PANK2"
"C20orf48","PANK2"
"HARP","PANK2"
"HSS","PANK2"
"NBIA1","PANK2"
"PKAN","PANK2"
"MTPAP","MTPAP"
"PAPD1","MTPAP"
"SPAX4","MTPAP"
"TENT6","MTPAP"
"PARK7","PARK7"
"DJ-1","PARK7"
"DJ1","PARK7"
"GATD2","PARK7"
"HEL-S-67p","PARK7"
"PARL","PARL"
"PRO2207","PARL"
"PSARL","PARL"
"PSARL1","PARL"
"PSENIP2","PARL"
"RHBDS1","PARL"
"PCCA","PCCA"
"PCCB","PCCB"
"PDK1","PDK1"
"PDK2","PDK2"
"PDHK2","PDK2"
"PDKII","PDK2"
"PDK3","PDK3"
"CMTX6","PDK3"
"GS1-358P8.4","PDK3"
"PDK4","PDK4"
"PDP1","PDP1"
"PDH","PDP1"
"PDP","PDP1"
"PDPC","PDP1"
"PDPC 1","PDP1"
"PPM2A","PDP1"
"PPM2C","PDP1"
"PDPR","PDPR"
"PDP3","PDPR"
"PGAM5","PGAM5"
"BXLBV68","PGAM5"
"PTGES2","PTGES2"
"C9orf15","PTGES2"
"GBF-1","PTGES2"
"PGES2","PTGES2"
"mPGES-2","PTGES2"
"PGS1","PGS1"
"PHB1","PHB1"
"HEL-215","PHB1"
"HEL-S-54e","PHB1"
"PHB","PHB1"
"PHB2","PHB2"
"BAP","PHB2"
"BCAP37","PHB2"
"Bap37","PHB2"
"PNAS-141","PHB2"
"REA","PHB2"
"hBAP","PHB2"
"p22","PHB2"
"PIM1","PIM1"
"PIM","PIM1"
"PINK1","PINK1"
"BRPK","PINK1"
"PARK6","PINK1"
"SFI1","SFI1"
"PISD","SFI1"
"PPP1R139","SFI1"
"hSfi1p","SFI1"
"PMP22","PXMP2"
"CIDP","PMP22"
"CMT1A","PMP22"
"CMT1E","PMP22"
"DSS","PMP22"
"GAS-3","PMP22"
"GAS3","PMP22"
"HMSNIA","PMP22"
"HNPP","PMP22"
"Sp110","PMP22"
"PNPO","PNPO"
"HEL-S-302","PNPO"
"PDXPO","PNPO"
"PNPT1","PNPT1"
"COXPD13","PNPT1"
"DFNB70","PNPT1"
"OLD35","PNPT1"
"PNPASE","PNPT1"
"SCA25","PNPT1"
"old-35","PNPT1"
"PPIF","PPIF"
"CYP3","PPIF"
"CyP-M","PPIF"
"Cyp-D","PPIF"
"CypD","PPIF"
"PPM1K","PPM1K"
"BCKDH","PPM1K"
"BDP","PPM1K"
"MSUDMV","PPM1K"
"PP2Ckappa","PPM1K"
"PP2Cm","PPM1K"
"PTMP","PPM1K"
"UG0882E07","PPM1K"
"HCRT","HCRT"
"NRCLP1","HCRT"
"OX","HCRT"
"PPOX","HCRT"
"PPTC7","PPTC7"
"TA-PP2C","PPTC7"
"TAPP2C","PPTC7"
"PRDX2","PRDX2"
"HEL-S-2a","PRDX2"
"NKEF-B","PRDX2"
"NKEFB","PRDX2"
"PRX2","PRDX2"
"PRXII","PRDX2"
"PTX1","PRDX2"
"TDPX1","PRDX2"
"TPX1","PRDX2"
"TSA","PRDX2"
"PRDX3","PRDX3"
"AOP-1","PRDX3"
"AOP1","PRDX3"
"HBC189","PRDX3"
"MER5","PRDX3"
"PPPCD","PRDX3"
"PRO1748","PRDX3"
"SCAR32","PRDX3"
"SP-22","PRDX3"
"prx-III","PRDX3"
"PRDX4","PRDX4"
"AOE37-2","PRDX4"
"AOE372","PRDX4"
"HEL-S-97n","PRDX4"
"PRX-4","PRDX4"
"PRDX5","PRDX5"
"ACR1","PRDX5"
"AOEB166","PRDX5"
"B166","PRDX5"
"HEL-S-55","PRDX5"
"PLP","PRDX5"
"PMP20","PRDX5"
"PRDX6","PRDX6"
"PRXV","PRDX5"
"SBBI10","PRDX5"
"prx-V","PRDX5"
"1-Cys","PRDX6"
"AOP2","PRDX6"
"HEL-S-128m","PRDX6"
"LPCAT-5","PRDX6"
"NSGPx","PRDX6"
"PRX","PRDX6"
"aiPLA2","PRDX6"
"p29","PRDX6"
"PYURF","PYURF"
"NDUFAFQ","PYURF"
"PREY","PYURF"
"PRKN","PRKN"
"AR-JP","PRKN"
"LPRS2","PRKN"
"PARK2","PRKN"
"PDJ","PRKN"
"PTCD1","PTCD1"
"PTCD3","PTCD3"
"COXPD51","PTCD3"
"MRP-S39","PTCD3"
"mS39","PTCD3"
"PTH","PTH"
"FIH1","PTH"
"PTH1","PTH"
"PTENP1","PTENP1"
"PTEN-rs","PTENP1"
"PTEN2","PTENP1"
"PTENpg1","PTENP1"
"PTH2","PTENP1"
"psiPTEN","PTENP1"
"PXMP2","PXMP2"
"MPV17L3","PXMP2"
"UQCRC1","UQCRC1"
"D3S3191","UQCRC1"
"PKNPY","UQCRC1"
"QCR1","UQCRC1"
"UQCR1","UQCRC1"
"UQCRC2","UQCRC2"
"MC3DN5","UQCRC2"
"QCR2","UQCRC2"
"UQCR2","UQCRC2"
"UQCRH","UQCRH"
"MC3DN11","UQCRH"
"QCR6","UQCRH"
"UQCR8","UQCRH"
"UQCRB","UQCRB"
"MC3DN3","UQCRB"
"QCR7","UQCRB"
"QP-C","UQCRQ"
"QPC","UQCRQ"
"UQBC","UQCRB"
"UQBP","UQCRB"
"UQCR6","UQCRB"
"UQPC","UQCRB"
"UQCRQ","UQCRQ"
"MC3DN4","UQCRQ"
"QCR8","UQCRQ"
"UQCR7","UQCRQ"
"RAB24","RAB24"
"RBFA","RBFA"
"C18orf22","RBFA"
"HsT169","RBFA"
"RAB5IF","RAB5IF"
"C20orf24","RAB5IF"
"CFSMR2","RAB5IF"
"OPTI","RAB5IF"
"PNAS-11","RAB5IF"
"RCAF1","RAB5IF"
"RIP5","RAB5IF"
"RDH14","RDH14"
"SDR7C4","RDH14"
"RIDA","RIDA"
"HRSP12","RIDA"
"P14.5","RIDA"
"PSP","RIDA"
"UK114","RIDA"
"hp14.5","RIDA"
"RNF2","RNF2"
"BAP-1","RNF2"
"BAP1","RNF2"
"DING","RNF2"
"HIPI3","RNF2"
"LUSYAM","RNF2"
"RING1B","RNF2"
"RING2","RNF2"
"RMD1","RMND1"
"RMND1","RMND1"
"C6orf96","RMND1"
"COXPD11","RMND1"
"bA351K16","RMND1"
"bA351K16.3","RMND1"
"RNH1","RNH1"
"IIAE12","RNH1"
"RAI","RNH1"
"RNH","RNH1"
"ROMO1","ROMO1"
"C20orf52","ROMO1"
"MTGM","ROMO1"
"MTGMP","ROMO1"
"bA353C18.2","ROMO1"
"RPIA","RPIA"
"RPI","RPIA"
"RPIAD","RPIA"
"BLOC1S1","BLOC1S1"
"BLOS1","BLOC1S1"
"BORCS1","BLOC1S1"
"GCN5L1","BLOC1S1"
"MICoA","BLOC1S1"
"RT14","BLOC1S1"
"SAMM50","SAMM50"
"CGI-51","SAMM50"
"OMP85","SAMM50"
"SAM50","SAMM50"
"TOB55","SAMM50"
"TRG-3","SAMM50"
"YNL026W","SAMM50"
"SARDH","SARDH"
"BPR-2","SARDH"
"DMGDHL1","SARDH"
"SAR","SARDH"
"SARD","SARDH"
"SDH","SDHB"
"SCO1","SCO1"
"MC4DN4","SCO1"
"SCOD1","SCO1"
"SCP2","SCP2"
"NLTP","SCP2"
"NSL-TP","SCP2"
"SCOX","SCP2"
"SCP-2","SCP2"
"SCP-CHI","SCP2"
"SCP-X","SCP2"
"SCPX","SCP2"
"SDHA","SDHA"
"CMD1GG","SDHA"
"FP","SDHA"
"MC2DN1","SDHA"
"NDAXOA","SDHA"
"PGL5","SDHA"
"PPGL5","SDHA"
"SDH1","SDHB"
"SDH2","SDHB"
"SDHF","SDHA"
"SDHB","SDHB"
"CWS2","SDHB"
"IP","SDHB"
"MC2DN4","SDHB"
"PGL4","SDHB"
"PPGL4","SDHB"
"SDHIP","SDHB"
"SFXN4","SFXN4"
"BCRM1","SFXN4"
"COXPD18","SFXN4"
"SLC56A4","SFXN4"
"SMIM8","SMIM8"
"C6orf162","SMIM8"
"dJ102H19.2","SMIM8"
"SND1","SND1"
"TDRD11","SND1"
"TSN","SND1"
"Tudor-SN","SND1"
"p100","SND1"
"SPG7","SPG7"
"CAR","SPG7"
"CMAR","SPG7"
"PGN","SPG7"
"SPG5C","SPG7"
"SQOR","SQOR"
"CGI-44","SQOR"
"PRO1975","SQOR"
"SQR","SQOR"
"SQRDL","SQOR"
"SSBP1","SSBP1"
"Mt-SSB","SSBP1"
"OPA13","SSBP1"
"SOSS-B1","SSBP1"
"SSBP","SSBP1"
"mtSSB","SSBP1"
"ALDH5A1","ALDH5A1"
"SSADH","ALDH5A1"
"SSDH","ALDH5A1"
"STOM","STOM"
"BND7","STOM"
"EPB7","STOM"
"EPB72","STOM"
"STX17","STX17"
"SUOX","SUOX"
"SURF1","SURF1"
"CMT4K","SURF1"
"MC4DN1","SURF1"
"SHY1","SURF1"
"SUPV3L1","SUPV3L1"
"SUV3","SUPV3L1"
"TACO1","TACO1"
"CCDC44","TACO1"
"MC4DN8","TACO1"
"TAFAZZIN","TAFAZZIN"
"BTHS","TAFAZZIN"
"CMD3A","TAFAZZIN"
"EFE","TAFAZZIN"
"EFE2","TAFAZZIN"
"G4.5","TAFAZZIN"
"LVNCX","TAFAZZIN"
"TAZ","TAFAZZIN"
"Taz1","TAFAZZIN"
"TCAIM","TCAIM"
"C3orf23","TCAIM"
"TOAG-1","TCAIM"
"TOAG1","TCAIM"
"SDSL","SDSL"
"SDH 2","SDSL"
"SDHL","SDSL"
"SDS-RS1","SDSL"
"TDH","SDSL"
"cSDH","SDSL"
"TEFM","TEFM"
"C17orf42","TEFM"
"COXPD58","TEFM"
"TFAM","TFAM"
"MTDPS15","TFAM"
"MTTF1","TFAM"
"MTTFA","TFAM"
"TCF6","TFAM"
"TCF6L1","TFAM"
"TCF6L2","TFAM"
"TCF6L3","TFAM"
"TFB2M","TFB2M"
"Hkp1","TFB2M"
"h-mtTFB","TFB2M"
"h-mtTFB2","TFB2M"
"hTFB2M","TFB2M"
"mtTFB2","TFB2M"
"ACAT1","ACAT1"
"ACAT","ACAT1"
"MAT","ACAT1"
"T2","ACAT1"
"THIL","ACAT1"
"ACAA1","ACAA1"
"ACAA","ACAA1"
"Lnc-Myd88","ACAA1"
"PTHIO","ACAA1"
"THIO","ACAA1"
"TIMM13","TIMM13"
"TIM13","TIMM13"
"TIM13B","TIMM13"
"TIMM13A","TIMM13"
"TIMM13B","TIMM13"
"ppv1","TIMM13"
"DNAJC19","DNAJC19"
"PAM18","DNAJC19"
"TIM14","DNAJC19"
"TIMM14","DNAJC19"
"TIMM21","TIMM21"
"C18orf55","TIMM21"
"HSPC154","TIMM21"
"TIM21","TIMM21"
"TIMM23","TIMM23"
"TIM23","TIMM23"
"TIMM29","TIMM29"
"C19orf52","TIMM29"
"TIM29","TIMM29"
"TIMM44","TIMM44"
"TIM44","TIMM44"
"TIMM50","TIMM50"
"MGCA9","TIMM50"
"TIM50","TIMM50"
"TIM50L","TIMM50"
"TIMM9","TIMM9"
"TIM9","TIMM9"
"TIM9A","TIMM9"
"KAT5","KAT5"
"ESA1","KAT5"
"HTATIP","KAT5"
"HTATIP1","KAT5"
"NEDFASB","KAT5"
"PLIP","KAT5"
"TIP","KAT5"
"TIP60","KAT5"
"ZC2HC5","KAT5"
"cPLA2","KAT5"
"TOMM20","TOMM20"
"MAS20","TOMM20"
"MOM19","TOMM20"
"TOM20","TOMM20"
"TOMM22","TOMM22"
"1C9-2","TOMM22"
"MST065","TOMM22"
"MSTP065","TOMM22"
"TOM22","TOMM22"
"TOMM34","TOMM34"
"HTOM34P","TOMM34"
"TOM34","TOMM34"
"URCC3","TOMM34"
"TOMM40","TOMM40"
"C19orf1","TOMM40"
"D19S1177E","TOMM40"
"PER-EC1","TOMM40"
"PEREC1","TOMM40"
"TOM40","TOMM40"
"TOP3A","TOP3A"
"MGRISCE2","TOP3A"
"PEOB5","TOP3A"
"TOP3","TOP3A"
"ZGRF7","TOP3A"
"HSP90B2P","HSP90B2P"
"GRP94P1","HSP90B2P"
"GRP94b","HSP90B2P"
"HSP","HSP90B2P"
"HSPCP2","HSP90B2P"
"TRA1P1","HSP90B2P"
"TRAP1","HSP90B2P"
"TRX-CAT1-2","TRX-CAT1-2"
"RNTMI1","TRX-CAT1-2"
"RNTMI2","TRX-CAT1-2"
"RNTMT1","TRX-CAT1-2"
"TRM1","TRX-CAT1-2"
"TRM2","TRX-CAT1-2"
"TRMI2","TRX-CAT1-2"
"TRNAM1","TRX-CAT1-2"
"TRNAMI2","TRX-CAT1-2"
"TRX-CAT1-3","TRX-CAT1-2"
"TRNT1","TRNT1"
"CCA1","TRNT1"
"CGI-47","TRNT1"
"MtCCA","TRNT1"
"RPEM","TRNT1"
"SIFD","TRNT1"
"TRUB2","TRUB2"
"CLONE24922","TRUB2"
"TXNRD2","TXNRD2"
"GCCD5","TXNRD2"
"SELZ","TXNRD2"
"TR","TXNRD2"
"TR-BETA","TXNRD2"
"TR3","TXNRD2"
"TRXR2","TXNRD2"
"TXNR2","TXNRD2"
"TSPO","TSPO"
"BPBS","TSPO"
"BZRP","TSPO"
"DBI","TSPO"
"IBP","TSPO"
"MBR","TSPO"
"PBR","TSPO"
"PBS","TSPO"
"PKBS","TSPO"
"PTBR","TSPO"
"TSPO1","TSPO"
"mDRC","TSPO"
"pk18","TSPO"
"TSTD3","TSTD3"
"UQCC1","UQCC1"
"BFZB","UQCC1"
"C20orf44","UQCC1"
"CBP3","UQCC1"
"UQCC","UQCC1"
"UQCC2","UQCC2"
"C6orf125","UQCC2"
"C6orf126","UQCC2"
"Cbp6","UQCC2"
"M19","UQCC2"
"MC3DN7","UQCC2"
"MNF1","UQCC2"
"bA6B20.2","UQCC2"
"UQCC3","UQCC3"
"C11orf83","UQCC3"
"CCDS41658.1","UQCC3"
"MC3DN9","UQCC3"
"UNQ655","UQCC3"
"VDAC1","VDAC1"
"PORIN","VDAC1"
"VDAC-1","VDAC1"
"VDAC2","VDAC2"
"POR","VDAC2"
"VDAC3","VDAC3"
"HD-VDAC3","VDAC3"
"VDAC-3","VDAC3"
"CYP27B1","CYP27B1"
"CP2B","CYP27B1"
"CYP1","CYP27B1"
"CYP1alpha","CYP27B1"
"CYP27B","CYP27B1"
"P450c1","CYP27B1"
"PDDR","CYP27B1"
"VDD1","CYP27B1"
"VDDR","CYP27B1"
"VDDRI","CYP27B1"
"VDR","CYP27B1"
"VWA8","VWA8"
"KIAA0564","VWA8"
"P7BP2","VWA8"
"RP97","VWA8"
"YRDC","YRDC"
"DRIP3","YRDC"
"GAMOS10","YRDC"
"IRIP","YRDC"
"SUA5","YRDC"
"SLC30A9","SLC30A9"
"BILAPES","SLC30A9"
"C4orf1","SLC30A9"
"GAC63","SLC30A9"
"HUEL","SLC30A9"
"ZNT9","SLC30A9"
